Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,392.5211,1051.0573,798.898,0.0,0.0,0.0,-989.8322,-9078.2837,485.3508,5382.2113,-1692.8064,53.21488968,-1958.0773999999992,-1639.59151032,-3597.668910319999
1,396.1079,1089.3677,821.5797,0.0,0.0,0.0,-1012.3499,-9129.454,470.0299,5353.0558,-1607.5248,51.9334092,-2011.6628999999994,-1555.5913908,-3567.2542907999996
2,371.7673,1081.1215,805.0244,0.0,0.0,0.0,-1006.771,-9089.1776,476.5672,5381.2067,-1678.898,53.054231040000005,-1980.2615000000005,-1625.8437689599998,-3606.1052689600006
3,383.8169,1044.2198,819.2497,0.0,0.0,0.0,-1020.2544,-9020.9727,470.3001,5369.435,-1726.2942,51.00605064,-1954.2055999999993,-1675.28814936,-3629.4937493599996
4,410.2323,1078.3498,820.2948,0.0,0.0,0.0,-1020.2178,-9136.0282,491.6474,5410.631,-1631.2933,51.05593152,-1945.0906999999997,-1580.23736848,-3525.32806848
5,409.8344,1086.1848,836.4743,0.0,0.0,0.0,-1022.0006,-9130.557,480.7462,5381.9442,-1608.7436,51.82747704,-1957.373700000001,-1556.91612296,-3514.289822960001
6,406.9425,1086.187,814.5948,0.0,0.0,0.0,-1012.1175,-9052.7377,478.2629,5363.8672,-1702.4968,51.13365912,-1915.0008000000007,-1651.36314088,-3566.3639408800004
7,410.9146,1084.2322,798.9242,0.0,0.0,0.0,-996.31,-9118.3456,483.3807,5373.9838,-1659.6117,52.73639136,-1963.2201000000005,-1606.87530864,-3570.09540864
8,413.154,1076.725,799.6643,0.0,0.0,0.0,-1008.4915,-9104.369,471.1636,5370.0334,-1666.4013,52.437187439999995,-1982.1202000000012,-1613.96411256,-3596.0843125600013
9,427.7592,1052.5923,814.6552,0.0,0.0,0.0,-993.5352,-9089.7917,496.7593,5356.6163,-1660.0658,52.23768912,-1934.9446000000007,-1607.8281108800002,-3542.772710880001
10,391.6989,1028.6421,819.9003,0.0,0.0,0.0,-1030.234,-8961.7451,488.0222,5366.2926,-1748.5757,52.040381759999995,-1897.4230000000007,-1696.5353182400002,-3593.958318240001
11,424.2472,1061.0561,807.8852,0.0,0.0,0.0,-1008.5155,-8976.2268,457.0757,5348.842,-1725.9612,52.68985632,-1885.6360999999997,-1673.27134368,-3558.9074436799992
12,379.1061,1088.9595,786.5123,0.0,0.0,0.0,-1013.8352,-8929.1928,486.449,5361.8167,-1791.4277,52.413477119999996,-1840.184400000001,-1739.01422288,-3579.198622880001
13,386.9155,1108.0972,792.2274,0.0,0.0,0.0,-970.4025,-9084.4657,488.0677,5342.5244,-1658.9169,51.712778879999995,-1937.036000000001,-1607.2041211199999,-3544.2401211200013
14,383.7203,1055.9587,800.7131,0.0,0.0,0.0,-1042.0499,-9039.3354,494.5408,5383.0406,-1680.9922,50.37657048,-1963.4117999999999,-1630.6156295199999,-3594.0274295199997
15,404.2319,1103.9544,794.0162,0.0,0.0,0.0,-995.0012,-9030.5901,477.2681,5334.9295,-1673.4453,51.99167088,-1911.1911999999984,-1621.4536291200002,-3532.6448291199986
16,383.8006,1054.1551,815.0854,0.0,0.0,0.0,-1010.8969,-9106.1175,480.4847,5377.2699,-1621.5324,51.70693824,-2006.2187000000004,-1569.82546176,-3576.0441617600004
17,405.6509,1088.5491,805.8871,0.0,0.0,0.0,-997.1547,-9036.823,469.1018,5342.9191,-1682.251,52.52644368,-1921.8697000000002,-1629.72455632,-3551.5942563200006
18,408.0085,1046.8812,817.1834,0.0,0.0,0.0,-1032.565,-8970.6677,462.9982,5368.209,-1744.834,51.784806960000004,-1899.9524000000001,-1693.04919304,-3593.00159304
19,363.9922,1067.9314,806.7458,0.0,0.0,0.0,-1026.61,-8988.9359,478.5556,5367.0026,-1722.7753,53.124567119999995,-1931.3183000000008,-1669.65073288,-3600.969032880001
20,392.817,1034.2549,810.2837,0.0,0.0,0.0,-1016.4543,-8978.644,477.3235,5375.8418,-1739.4025,53.88249528,-1904.5774000000001,-1685.5200047199999,-3590.09740472
21,411.3847,1071.8529,777.0476,0.0,0.0,0.0,-1008.1527,-9002.2709,485.7909,5335.9898,-1685.8364,52.15518864,-1928.3576999999996,-1633.68121136,-3562.03891136
22,404.1881,1083.4997,784.0752,0.0,0.0,0.0,-1016.4749,-9157.5526,468.7145,5362.6306,-1596.2492,50.80106232,-2070.9194000000007,-1545.44813768,-3616.367537680001
23,399.7952,1034.6792,794.039,0.0,0.0,0.0,-1030.5291,-9109.8037,473.3856,5383.1007,-1656.0751,50.89524192,-2055.3331000000007,-1605.17985808,-3660.5129580800008
24,414.5561,1084.1387,811.76,0.0,0.0,0.0,-1017.7234,-9071.302,473.0702,5411.3111,-1701.9558,51.785760239999995,-1894.189299999999,-1650.17003976,-3544.359339759999
25,399.6266,1061.4475,803.0779,0.0,0.0,0.0,-1030.6967,-9109.3816,484.2693,5414.8062,-1661.724,51.07889736,-1976.850800000001,-1610.64510264,-3587.495902640001
26,405.305,1043.5625,799.2361,0.0,0.0,0.0,-1022.8221,-9100.8653,483.0366,5338.5123,-1625.1369,51.94509336,-2054.0348999999987,-1573.1918066399999,-3627.2267066399986
27,432.7209,1073.7582,810.3753,0.0,0.0,0.0,-997.4464,-9148.4791,467.9657,5386.7695,-1630.1395,53.525854079999995,-1974.3359,-1576.61364592,-3550.94954592
28,395.4353,1075.3911,787.106,0.0,0.0,0.0,-1008.74,-9132.544,481.7414,5367.7001,-1603.0077,51.33590424,-2033.9101,-1551.6717957600001,-3585.58189576
29,382.0743,1037.1877,793.7079,0.0,0.0,0.0,-969.8323,-9219.0235,498.354,5380.3319,-1572.6765,52.70842512,-2097.199999999999,-1519.9680748800001,-3617.168074879999
30,415.0125,1070.5833,799.3355,0.0,0.0,0.0,-974.0243,-9194.6993,480.3767,5387.3585,-1636.2419,53.852883840000004,-2016.0571,-1582.38901616,-3598.44611616
31,388.6059,1047.4743,797.2773,0.0,0.0,0.0,-996.0675,-9204.8462,477.544,5444.9599,-1622.6131,53.54741808,-2045.0523000000003,-1569.06568192,-3614.11798192
32,381.9668,1092.7453,805.8163,0.0,0.0,0.0,-1012.2735,-9243.3246,482.7095,5392.7938,-1566.7758,50.5369656,-2099.5663999999997,-1516.2388343999999,-3615.8052344
33,401.9282,1053.0782,821.9367,0.0,0.0,0.0,-1002.2194,-9260.593,482.063,5388.4177,-1556.5528,51.64652304,-2115.3886,-1504.90627696,-3620.2948769600002
34,385.0876,1050.2257,820.7692,0.0,0.0,0.0,-1007.5657,-9131.0249,473.3142,5367.7017,-1633.8205,52.09483896,-2041.4922000000015,-1581.72566104,-3623.2178610400015
