Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,412.3693,1067.8233,830.1367,0.0,0.0,0.0,-999.0486,-8925.1624,483.3986,5050.8034,-1712.1575,1072.9792,-655.0827,-2079.6796999999997,-1294.261,-3373.9407
1,400.329,1034.9179,793.2003,0.0,0.0,0.0,-1016.0623,-8963.9455,489.0407,5088.5339,-1666.3553,1063.5811,-647.9046,-2173.986000000001,-1250.6787999999997,-3424.6648000000005
2,388.2849,1043.3621,823.3524,0.0,0.0,0.0,-1009.3257,-9042.3572,479.3058,5082.7576,-1632.0914,1067.6163,-653.8655,-2234.620100000001,-1218.3406,-3452.9607000000015
3,389.3173,1013.7201,802.0776,0.0,0.0,0.0,-1007.3343,-8931.7819,481.2149,5062.9627,-1687.5472,1081.5598,-661.1191,-2189.8236000000006,-1267.1064999999999,-3456.9301000000005
4,409.4644,1038.9055,799.3663,0.0,0.0,0.0,-1040.2074,-8867.159,467.7985,5060.8043,-1713.7466,1072.2137,-652.3394,-2131.0274,-1293.8723,-3424.8997
5,369.562,1056.716,783.1769,0.0,0.0,0.0,-1003.791,-9015.0771,489.5174,5067.5166,-1614.5587,1070.3662,-648.3217,-2252.379200000001,-1192.5142,-3444.8934000000013
6,405.0958,1081.9085,778.8933,0.0,0.0,0.0,-1025.1274,-8895.8371,498.3021,5074.3531,-1726.4685,1067.4934,-653.7368,-2082.4117000000006,-1312.7118999999998,-3395.1236000000004
7,427.0777,1076.835,786.2769,0.0,0.0,0.0,-1031.8543,-8807.1585,487.2016,5071.3305,-1786.9121,1070.8246,-658.1668,-1990.2910999999986,-1374.2543,-3364.5453999999986
8,403.2764,1111.2472,822.1078,0.0,0.0,0.0,-1014.3459,-8855.3374,498.6519,5044.794,-1755.711,1066.7044,-650.3065,-1989.6060000000007,-1339.3130999999998,-3328.919100000001
9,411.6519,1081.6382,792.4181,0.0,0.0,0.0,-1022.4469,-8924.6933,486.7321,5079.3382,-1730.3372,1075.4173,-656.9829,-2095.3617000000004,-1311.9027999999998,-3407.2645
10,387.3163,1091.6603,782.5811,0.0,0.0,0.0,-1011.9136,-8942.227,467.5377,5070.1959,-1716.3692,1062.6361,-647.9445,-2154.8493000000017,-1301.6776,-3456.526900000002
11,397.8887,1045.4535,781.4556,0.0,0.0,0.0,-1024.4887,-8770.7604,473.2817,5039.5825,-1833.6787,1071.2876,-655.8989,-2057.587099999999,-1418.29,-3475.877099999999
12,373.2078,1043.5715,810.1176,0.0,0.0,0.0,-1011.6982,-8882.4587,491.6131,5076.3078,-1752.4559,1072.9083,-663.9844,-2099.3391,-1343.532,-3442.8711000000003
13,425.8736,1079.3484,794.782,0.0,0.0,0.0,-987.4642,-8854.3816,478.8334,5066.3563,-1803.9986,1085.3256,-665.0222,-1996.6521000000002,-1383.6952,-3380.3473
14,402.8926,1069.4097,807.8482,0.0,0.0,0.0,-1015.9056,-8720.2208,474.5613,5012.7515,-1862.372,1089.8049,-672.7809,-1968.6630999999988,-1445.348,-3414.011099999999
15,391.0004,1040.0431,817.095,0.0,0.0,0.0,-1009.7407,-8809.6144,482.1402,5032.0898,-1782.0045,1076.0977,-662.908,-2056.9866,-1368.8148,-3425.8014
16,403.6014,1001.5658,806.3355,0.0,0.0,0.0,-1014.9642,-8830.2755,479.3498,5102.4868,-1822.4074,1077.931,-657.8654,-2051.9003999999995,-1402.3418000000001,-3454.2421999999997
17,391.1917,1026.2229,774.7623,0.0,0.0,0.0,-1023.2281,-8828.7226,467.8921,5086.7053,-1804.8075,1073.1351,-654.71,-2105.1763999999994,-1386.3824,-3491.5587999999993
18,401.3169,1045.2912,773.1468,0.0,0.0,0.0,-1021.3127,-8812.7021,479.2965,5069.7325,-1788.4692,1078.3326,-661.6243,-2065.2309000000005,-1371.7609,-3436.9918000000002
19,399.1841,1059.6608,801.8269,0.0,0.0,0.0,-1017.3182,-8759.8115,469.9245,5049.5949,-1847.0385,1084.9948,-670.5372,-1996.9384999999993,-1432.5809000000002,-3429.519399999999
20,401.1526,1072.5616,795.8152,0.0,0.0,0.0,-992.5794,-8724.3879,484.8775,5009.5581,-1845.2023,1088.5433,-674.3609,-1953.0023,-1431.0198999999998,-3384.0222
21,387.1604,1071.4561,819.153,0.0,0.0,0.0,-1025.8314,-8955.9297,478.6632,5074.154,-1659.4597,1074.751,-658.7139,-2151.1744,-1243.4226,-3394.5969999999998
22,381.0018,1059.2918,793.4996,0.0,0.0,0.0,-995.14,-8753.0612,481.5977,5069.3787,-1848.7737,1091.4586,-676.4337,-1963.431599999999,-1433.7488,-3397.180399999999
23,429.6991,1076.5174,795.3533,0.0,0.0,0.0,-1004.2065,-8846.7678,466.1209,5054.0321,-1767.9709,1081.1392,-666.5908,-2029.2514999999994,-1353.4225,-3382.6739999999995
24,401.8497,1052.0919,811.2698,0.0,0.0,0.0,-1015.5694,-8781.3718,487.3301,5107.2791,-1843.0799,1079.3154,-669.0742,-1937.120600000001,-1432.8387,-3369.959300000001
25,403.9095,1026.4496,777.7185,0.0,0.0,0.0,-1012.0699,-8694.1352,480.0565,5017.6003,-1835.0176,1077.5908,-659.8646,-2000.4707000000008,-1417.2914,-3417.762100000001
26,398.6882,1074.4273,818.5115,0.0,0.0,0.0,-1008.1862,-8781.7264,468.666,5055.4944,-1858.5904,1078.9421,-669.4859,-1974.1251999999995,-1449.1342,-3423.2593999999995
