Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,420.462,1042.4415,773.9122,0.0,0.0,0.0,-996.9958,-8956.0413,476.0135,5417.4616,-1804.0412,52.092197999999996,-1822.7463000000007,-1751.9490019999998,-3574.6953020000005
1,401.9794,1072.9842,764.8813,0.0,0.0,0.0,-1016.5486,-8917.7465,454.4412,5440.3413,-1817.2115,50.908887359999994,-1799.667699999999,-1766.30261264,-3565.970312639999
2,410.067,1023.6879,776.4317,0.0,0.0,0.0,-1026.1403,-9035.2959,461.9923,5415.9411,-1688.2011,49.93589808,-1973.3161999999993,-1638.26520192,-3611.5814019199997
3,371.2179,1095.0764,781.0014,0.0,0.0,0.0,-1013.9922,-9034.1708,478.8272,5416.2904,-1696.4355,53.132292,-1905.7497000000003,-1643.303208,-3549.0529080000006
4,366.3264,1061.271,769.1523,0.0,0.0,0.0,-988.4892,-9118.0839,482.8138,5484.2724,-1675.4815,52.41651624,-1942.7371999999996,-1623.0649837600001,-3565.8021837599995
5,397.3898,1058.4751,779.1339,0.0,0.0,0.0,-1015.6526,-9049.1583,478.879,5441.2474,-1682.9473,52.48835712,-1909.685699999999,-1630.45894288,-3540.144642879999
6,405.6194,1049.637,755.4688,0.0,0.0,0.0,-1010.4471,-9056.1623,462.4265,5432.9897,-1713.505,52.91203536,-1960.4680000000008,-1660.5929646400002,-3621.0609646400007
7,418.3485,1095.9729,768.2415,0.0,0.0,0.0,-1022.442,-9124.9094,469.2823,5416.0815,-1609.4613,51.34195656,-1979.4247000000005,-1558.11934344,-3537.54404344
8,394.2868,1089.7404,789.5598,0.0,0.0,0.0,-1007.0007,-9134.9679,470.8858,5491.9219,-1666.8194,52.48358279999999,-1905.5738999999994,-1614.3358172,-3519.9097171999997
9,394.3655,997.6917,789.0848,0.0,0.0,0.0,-988.1924,-9077.5114,478.2426,5472.232,-1714.3286,52.1997768,-1934.0872,-1662.1288232,-3596.2160231999997
10,403.5506,1060.2849,781.3874,0.0,0.0,0.0,-1007.6316,-9003.9137,462.2033,5391.8858,-1686.8475,52.48829448,-1912.233299999999,-1634.3592055200002,-3546.5925055199987
11,389.4567,998.7011,785.9142,0.0,0.0,0.0,-1015.4675,-9049.6825,480.2425,5469.4327,-1687.4591,53.126270639999994,-1941.4027999999998,-1634.33282936,-3575.73562936
12,407.8181,1054.3632,783.7967,0.0,0.0,0.0,-995.9353,-9145.6031,486.9624,5472.5247,-1604.7017,51.554576159999996,-1936.0733,-1553.1471238400002,-3489.22042384
13,386.0963,1074.8514,801.5319,0.0,0.0,0.0,-1004.3383,-8998.2574,470.151,5426.4433,-1709.9478,52.85739168,-1843.5218000000013,-1657.0904083199998,-3500.612208320001
