Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,387.9892,1002.9287,812.0201,0.0,0.0,0.0,-1003.5592,-9070.7299,490.257,5097.194,-1723.686,54.02718216,-2283.9001,-1669.65881784,-3953.5589178399996
1,400.8168,1079.8762,805.4061,0.0,0.0,0.0,-987.5404,-9048.6046,480.2621,5062.0728,-1752.5497,56.54301552,-2207.711000000001,-1696.00668448,-3903.717684480001
2,388.8563,1035.0416,786.9695,0.0,0.0,0.0,-989.6343,-8971.464,479.7408,5063.0908,-1829.7805,58.47552,-2207.399300000001,-1771.3049800000001,-3978.704280000001
3,394.6964,1026.2793,791.6812,0.0,0.0,0.0,-993.571,-8970.6628,492.4406,5129.4742,-1868.4192,56.82802464,-2129.6621000000005,-1811.59117536,-3941.2532753600008
4,403.0607,1055.7308,785.0105,0.0,0.0,0.0,-976.7974,-8950.8314,490.6799,5075.5558,-1858.2164,57.491491679999996,-2117.5910999999987,-1800.72490832,-3918.316008319999
5,379.6699,1043.8856,795.7276,0.0,0.0,0.0,-1012.3854,-8962.4706,486.7923,5072.0904,-1828.2563,55.570428719999995,-2196.690200000001,-1772.68587128,-3969.376071280001
6,402.7742,1018.6093,787.3529,0.0,0.0,0.0,-999.5089,-9044.3942,467.9555,5121.2853,-1784.3117,54.59371848,-2245.925900000001,-1729.71798152,-3975.6438815200013
7,399.349,1059.0413,828.149,0.0,0.0,0.0,-985.2108,-8923.1592,480.3413,5046.9262,-1874.3789,56.92593888,-2094.5632000000005,-1817.4529611199998,-3912.01616112
8,369.4162,1031.3336,806.0711,0.0,0.0,0.0,-991.9524,-8966.3307,502.5431,5091.1264,-1863.0793,57.69941472,-2157.7927,-1805.37988528,-3963.1725852800005
9,371.6869,1061.6353,789.5646,0.0,0.0,0.0,-980.5321,-9013.1544,501.3639,5106.3206,-1818.2552,55.61686656,-2163.1151999999993,-1762.63833344,-3925.7535334399995
10,397.3917,1058.6446,796.8442,0.0,0.0,0.0,-955.1795,-9045.8035,488.108,5045.7045,-1765.1964,54.47111975999999,-2214.29,-1710.72528024,-3925.01528024
11,393.8792,1054.5435,810.3694,0.0,0.0,0.0,-1005.0861,-8990.9316,489.5212,5121.0455,-1853.9741,56.0062944,-2126.6588999999994,-1797.9678055999998,-3924.6267055999992
12,407.0812,1034.4468,808.6011,0.0,0.0,0.0,-1007.3993,-8961.1507,485.1244,5066.0275,-1824.7969,54.617493599999996,-2167.2690000000002,-1770.1794064,-3937.4484064000003
13,396.4127,1047.2873,800.993,0.0,0.0,0.0,-1001.1853,-9132.5522,496.4044,5117.3906,-1702.674,53.54614943999999,-2275.2495,-1649.12785056,-3924.3773505599997
14,433.2854,1100.8934,817.2245,0.0,0.0,0.0,-1015.2087,-9044.1479,479.2861,5065.2521,-1748.8406,53.6209596,-2163.4151,-1695.2196404,-3858.6347404000003
15,389.192,1020.7728,803.5286,0.0,0.0,0.0,-1006.9893,-9122.405,485.4133,5103.5277,-1716.4063,52.632846,-2326.9599000000007,-1663.7734540000001,-3990.733354000001
16,385.1912,1016.5357,807.5316,0.0,0.0,0.0,-1002.5059,-9066.3702,472.2171,5086.2929,-1754.8983,53.91348264,-2301.1075999999994,-1700.98481736,-4002.092417359999
17,373.396,1028.7851,791.0374,0.0,0.0,0.0,-1016.8606,-9014.3374,489.2868,5076.5487,-1787.5217,54.57529152,-2272.1440000000002,-1732.94640848,-4005.0904084800004
18,402.0508,1065.7426,786.0374,0.0,0.0,0.0,-1004.5786,-9057.8862,483.1623,5062.8077,-1734.7161,53.775746639999994,-2262.6640000000007,-1680.94035336,-3943.604353360001
19,398.6633,1024.6487,792.2346,0.0,0.0,0.0,-1010.2661,-8895.1164,480.7022,5063.9398,-1882.3812,54.64794096,-2145.193900000001,-1827.7332590400001,-3972.927159040001
20,371.8599,1040.9127,796.8481,0.0,0.0,0.0,-1014.0229,-8813.8975,489.3636,5067.8742,-1923.1893,54.56203776,-2061.0618999999997,-1868.62726224,-3929.68916224
21,429.3794,1062.5158,787.7334,0.0,0.0,0.0,-999.5301,-8975.7051,474.725,5019.9053,-1741.3561,53.429595840000005,-2200.9762999999984,-1687.92650416,-3888.9028041599986
22,425.8711,1064.9205,787.8879,0.0,0.0,0.0,-1011.9395,-9024.3071,465.8724,5029.4309,-1717.2792,53.102155679999996,-2262.2637999999997,-1664.17704432,-3926.4408443199995
23,420.6603,1001.6684,753.8517,0.0,0.0,0.0,-1018.467,-8921.7894,473.5789,5020.5843,-1785.5387,54.10443888,-2269.9127999999982,-1731.43426112,-4001.347061119998
24,395.9251,1081.9878,754.7702,0.0,0.0,0.0,-1013.7187,-8925.5174,495.1267,5109.1963,-1859.6581,55.42657848,-2102.2300000000005,-1804.2315215200001,-3906.4615215200006
25,410.1334,1038.5477,788.1597,0.0,0.0,0.0,-978.2035,-8962.1299,489.8978,5058.5487,-1834.1701,56.58549624,-2155.0460999999996,-1777.58460376,-3932.63070376
26,420.7673,1044.6895,797.299,0.0,0.0,0.0,-996.0885,-8950.6764,485.7118,5027.1639,-1811.4978,54.21919176,-2171.1334000000006,-1757.27860824,-3928.412008240001
27,408.1709,1021.7758,765.7642,0.0,0.0,0.0,-1008.5442,-8963.0447,487.6446,5109.1047,-1849.5994,53.11160352,-2179.128700000001,-1796.48779648,-3975.6164964800014
28,417.0897,1043.4336,786.9757,0.0,0.0,0.0,-1004.5206,-8930.2701,488.2801,5091.6037,-1887.7406,55.516472639999996,-2107.4079,-1832.22412736,-3939.6320273600004
29,378.6303,1022.6752,780.9265,0.0,0.0,0.0,-999.4439,-9017.0216,477.8198,5111.9389,-1810.9703,52.681988159999996,-2244.4748,-1758.28831184,-4002.76311184
30,441.4649,1092.0754,789.615,0.0,0.0,0.0,-1023.4846,-8944.3026,468.5978,5075.6452,-1837.7022,53.69766552,-2100.388900000001,-1784.0045344799998,-3884.3934344800005
31,401.6721,1078.564,790.5958,0.0,0.0,0.0,-987.9659,-8904.3739,485.7036,5082.3707,-1878.8538,53.60144759999999,-2053.4336000000003,-1825.2523524,-3878.6859524
32,429.029,1065.334,791.8977,0.0,0.0,0.0,-989.0486,-9077.681,485.417,5082.5958,-1719.8009,52.93016856,-2212.4561000000003,-1666.8707314399999,-3879.3268314400007
33,364.7669,1046.5981,797.1564,0.0,0.0,0.0,-997.3808,-9093.8073,482.9261,5120.4641,-1722.7571,54.392019839999996,-2279.2765,-1668.36508016,-3947.6415801599996
34,390.1894,1023.6495,784.8098,0.0,0.0,0.0,-1008.3226,-9009.887,484.057,5039.0724,-1730.6424,52.99259256,-2296.4315000000006,-1677.64980744,-3974.0813074400003
35,414.8364,1061.6093,787.0753,0.0,0.0,0.0,-1019.8352,-9056.7562,464.9546,5005.7092,-1682.6206,54.94474152,-2342.4065999999993,-1627.67585848,-3970.0824584799993
36,398.332,1044.0449,788.1102,0.0,0.0,0.0,-1041.1724,-9006.101,492.4843,5080.6206,-1775.2111,53.360166959999994,-2243.6813999999995,-1721.85093304,-3965.5323330399997
37,398.1599,1032.0083,793.2493,0.0,0.0,0.0,-1001.7079,-8998.0623,472.4658,5103.8214,-1843.7223,55.64554416,-2200.0654999999997,-1788.0767558399998,-3988.1422558399995
38,402.4418,1114.3418,779.7071,0.0,0.0,0.0,-986.7219,-8898.8111,473.4045,5066.0412,-1852.8755,55.81267704,-2049.5966000000017,-1797.0628229600002,-3846.659422960002
39,397.5296,1057.2916,793.3676,0.0,0.0,0.0,-1020.6682,-8875.5163,468.2037,5029.8286,-1849.056,55.34909136,-2149.9633999999996,-1793.70690864,-3943.67030864
40,405.5129,1008.5784,798.818,0.0,0.0,0.0,-1009.3064,-9024.7589,470.0721,4995.275,-1717.4946,56.1024648,-2355.808900000001,-1661.3921352,-4017.201035200001
41,393.5568,1044.4044,807.4277,0.0,0.0,0.0,-985.7678,-8963.9029,482.2389,5047.4823,-1830.4343,56.99913624,-2174.560599999999,-1773.4351637599998,-3947.9957637599987
42,397.1266,1052.3699,789.2487,0.0,0.0,0.0,-1008.0264,-9050.8606,485.0498,5023.5179,-1698.1058,55.17583344,-2311.5741000000007,-1642.9299665600001,-3954.504066560001
43,412.1136,1024.9731,777.0209,0.0,0.0,0.0,-985.3198,-9011.6971,486.2967,5057.6215,-1771.6382,56.21841144,-2238.9910999999993,-1715.4197885600001,-3954.4108885599994
44,396.0172,1039.2358,783.3311,0.0,0.0,0.0,-971.7261,-9102.6782,486.446,5030.5512,-1693.6971,54.33940152,-2338.8230000000003,-1639.3576984800002,-3978.1806984800005
45,417.9096,1049.0445,803.8827,0.0,0.0,0.0,-993.5725,-9010.9455,477.68,5073.2296,-1776.8405,53.2701972,-2182.7716,-1723.5703028,-3906.3419028000003
46,397.6714,1042.5554,803.4066,0.0,0.0,0.0,-1002.3161,-9046.5419,489.0527,5091.1225,-1773.5957,56.234507040000004,-2225.0494,-1717.3611929600002,-3942.4105929599996
47,417.4609,1032.5409,809.9412,0.0,0.0,0.0,-989.3325,-8975.3594,472.1415,5046.0676,-1789.5633,54.949414319999995,-2186.5397999999986,-1734.61388568,-3921.1536856799985
48,372.5527,1068.5561,788.0623,0.0,0.0,0.0,-983.8047,-8825.3264,495.1077,5045.5839,-1936.6925,56.692429919999995,-2039.2684000000008,-1880.0000700800001,-3919.268470080001
49,404.0423,1069.8015,811.8762,0.0,0.0,0.0,-1016.4721,-9083.9218,481.0951,5063.8361,-1707.8371,53.354278799999996,-2269.742699999999,-1654.4828212,-3924.2255211999986
50,384.4772,1079.5858,798.8696,0.0,0.0,0.0,-1015.833,-9070.5447,480.1227,5050.2746,-1711.8205,52.515519839999996,-2293.047800000001,-1659.30498016,-3952.352780160001
51,404.0706,1051.6059,773.656,0.0,0.0,0.0,-978.6811,-9067.9698,461.2053,5044.856,-1737.2892,56.1279456,-2311.2571000000016,-1681.1612544,-3992.4183544000016
52,385.2558,988.2246,773.6121,0.0,0.0,0.0,-991.9882,-9033.4861,484.0808,5046.2619,-1729.0649,54.520068959999996,-2348.0391,-1674.5448310400002,-4022.58393104
53,409.6034,997.6418,817.9026,0.0,0.0,0.0,-957.5616,-8978.8143,501.1984,5099.3889,-1854.0057,60.07564008000001,-2110.6408,-1793.9300599199998,-3904.5708599199997
54,380.5676,1090.6205,809.5299,0.0,0.0,0.0,-989.4313,-8953.552,474.76,5069.4063,-1833.8293,56.93799888,-2118.099,-1776.8913011200002,-3894.9903011200004
55,421.6105,1017.1547,784.0369,0.0,0.0,0.0,-965.6438,-8993.6327,483.5818,5085.2747,-1822.6062,57.723765119999996,-2167.6179,-1764.88243488,-3932.5003348800005
56,392.8899,1062.203,791.3229,0.0,0.0,0.0,-987.2183,-8910.7646,472.6834,5075.2984,-1894.3426,57.88128384,-2103.5853000000006,-1836.46131616,-3940.0466161600007
57,416.0935,1018.4408,790.9291,0.0,0.0,0.0,-1007.0056,-8867.0991,474.3323,5100.1043,-1932.9171,56.785086,-2074.2046999999993,-1876.1320139999998,-3950.336713999999
58,378.3238,1072.4584,809.5084,0.0,0.0,0.0,-999.21,-8877.672,478.5005,5037.8643,-1902.601,56.10311711999999,-2100.2266,-1846.4978828800001,-3946.72448288
59,406.1707,1072.8511,776.4811,0.0,0.0,0.0,-997.1902,-8807.7442,477.4809,5058.8774,-1952.0207,58.27975272,-2013.073199999998,-1893.74094728,-3906.814147279998
60,378.4436,1082.5241,791.4463,0.0,0.0,0.0,-999.7762,-8870.0446,491.7152,5064.6164,-1906.1702,58.15689767999999,-2061.0751999999993,-1848.01330232,-3909.0885023199994
61,408.6773,1067.5909,802.4798,0.0,0.0,0.0,-993.8815,-8907.6194,482.11,5015.1596,-1873.4246,56.877027119999994,-2125.4833,-1816.54757288,-3942.03087288
62,397.3176,1083.2758,789.1464,0.0,0.0,0.0,-951.0169,-8914.5891,491.7368,5061.2558,-1890.2105,53.52913727999999,-2042.8736,-1836.68136272,-3879.55496272
63,425.2093,1023.0479,769.6334,0.0,0.0,0.0,-985.6426,-8912.5532,480.2209,5072.3812,-1859.0457,56.67230808,-2127.7031000000006,-1802.37339192,-3930.07649192
64,394.3374,1028.8622,774.0903,0.0,0.0,0.0,-993.2041,-8918.3198,473.6199,5049.8122,-1828.1092,55.56104136,-2190.8018999999995,-1772.54815864,-3963.350058639999
65,364.3752,1041.7978,793.9619,0.0,0.0,0.0,-999.075,-8896.1091,487.8344,5055.073,-1868.7265,57.79453896,-2152.1417999999994,-1810.93196104,-3963.073761039999
66,385.5979,1058.7495,788.9351,0.0,0.0,0.0,-996.5791,-8991.9751,472.8304,5038.6341,-1778.5267,54.6925428,-2243.8071999999993,-1723.8341572,-3967.641357199999
67,404.8192,1018.0398,761.4376,0.0,0.0,0.0,-977.226,-8975.8197,471.4533,5021.8176,-1753.25,55.65926736,-2275.4782000000005,-1697.59073264,-3973.0689326400006
68,403.039,1023.8824,774.2103,0.0,0.0,0.0,-1008.1568,-9060.3407,479.3378,5046.7726,-1666.7172,53.09777304,-2341.2554,-1613.61942696,-3954.87482696
69,393.7441,1023.1133,781.9235,0.0,0.0,0.0,-987.5356,-9047.3526,476.7097,5043.4527,-1719.7823,55.01459808,-2315.9449000000004,-1664.76770192,-3980.7126019200005
70,392.0198,1039.308,786.7735,0.0,0.0,0.0,-1002.0208,-8981.6527,484.2509,5070.3508,-1762.6545,54.58042872,-2210.9705000000004,-1708.07407128,-3919.0445712800006
71,401.1575,1096.6504,796.9923,0.0,0.0,0.0,-1002.9021,-9044.9663,487.0285,5068.5924,-1750.3555,54.56002464,-2197.447299999999,-1695.79547536,-3893.2427753599986
72,403.8955,991.5645,780.8643,0.0,0.0,0.0,-1020.103,-9140.3624,469.447,5093.3124,-1638.6152,52.58336904,-2421.3817,-1586.03183096,-4007.41353096
73,413.8757,1035.1075,786.2411,0.0,0.0,0.0,-981.2664,-9125.4469,487.8709,5070.2391,-1681.7527,54.517795920000005,-2313.3790000000017,-1627.23490408,-3940.6139040800017
74,384.2315,1069.5177,791.4427,0.0,0.0,0.0,-999.5367,-9188.3138,500.1798,5105.6439,-1641.1964,53.9110728,-2336.8349,-1587.2853272,-3924.1202271999996
75,381.4296,1050.996,789.7686,0.0,0.0,0.0,-987.7331,-9101.733,529.994,5065.1792,-1697.1279,55.11478176,-2272.0987000000005,-1642.01311824,-3914.1118182400005
76,394.3372,1073.8487,769.5098,0.0,0.0,0.0,-985.8953,-9041.1407,458.8975,5077.8568,-1772.5254,56.09975832,-2252.5860000000002,-1716.42564168,-3969.01164168
77,390.6784,1075.4408,804.1906,0.0,0.0,0.0,-979.76,-9056.7934,484.7243,5077.4279,-1744.005,57.830056559999996,-2204.091400000001,-1686.17494344,-3890.2663434400015
78,388.6376,1059.1527,805.0022,0.0,0.0,0.0,-973.5454,-9045.3062,476.9053,5059.4847,-1751.94,56.545303679999996,-2229.6691,-1695.39469632,-3925.06379632
79,391.5196,1045.7153,796.9014,0.0,0.0,0.0,-988.5147,-9141.7096,493.4004,5049.0429,-1655.4747,53.32528368,-2353.644699999999,-1602.14941632,-3955.7941163199985
80,395.3664,1034.4743,803.4714,0.0,0.0,0.0,-1023.082,-9001.3321,500.8683,5090.1446,-1788.7111,54.062960399999994,-2200.0890999999992,-1734.6481396,-3934.737239599999
81,372.9765,1087.3885,806.0556,0.0,0.0,0.0,-989.3492,-8991.626,486.7421,5088.8526,-1837.3186,56.16857952,-2138.9599,-1781.15002048,-3920.10992048
82,402.1538,1029.0304,779.0991,0.0,0.0,0.0,-996.0582,-8959.2695,485.5493,5109.2395,-1871.2974,55.18138536,-2150.2556000000013,-1816.11601464,-3966.371614640001
83,430.707,1084.7648,793.5973,0.0,0.0,0.0,-989.5003,-8982.7765,483.5889,5113.3655,-1878.3747,55.22021064,-2066.253300000001,-1823.15448936,-3889.4077893600015
84,414.7156,1078.0802,781.9448,0.0,0.0,0.0,-991.3343,-8984.7941,472.5214,5068.6665,-1811.839,56.201648399999996,-2160.1998999999987,-1755.6373515999999,-3915.8372515999986
85,417.6953,1059.4413,773.6438,0.0,0.0,0.0,-1006.185,-8969.8486,472.7334,5094.5176,-1832.081,55.83785256,-2158.002199999999,-1776.2431474399998,-3934.245347439999
86,391.1702,1069.9562,779.1897,0.0,0.0,0.0,-980.4904,-8962.0946,493.3958,5074.002,-1841.2908,53.903256479999996,-2134.8711000000003,-1787.38754352,-3922.25864352
87,439.6831,1042.0957,798.7024,0.0,0.0,0.0,-1000.5373,-8845.4317,486.5063,5059.8867,-1959.3979,55.96207704,-2019.094799999999,-1903.43582296,-3922.5306229599987
88,385.995,1057.2857,773.3528,0.0,0.0,0.0,-1015.2056,-8843.578,466.1739,5049.9152,-1917.8123,54.452644559999996,-2126.0609999999997,-1863.35965544,-3989.42065544
89,368.6659,1071.6667,823.7956,0.0,0.0,0.0,-1017.6283,-8856.0882,480.0337,5076.3331,-1943.1559,56.16382752,-2053.2214999999997,-1886.99207248,-3940.2135724799996
90,431.8089,1053.9385,807.4324,0.0,0.0,0.0,-971.068,-9022.3523,503.623,5077.7366,-1802.5432,56.437160399999996,-2118.880900000001,-1746.1060396,-3864.9869396000013
91,399.8197,1060.6372,791.474,0.0,0.0,0.0,-979.4852,-8883.9938,465.9242,5031.6973,-1895.0778,55.51519824,-2113.9266,-1839.56260176,-3953.48920176
92,389.2113,1051.9085,833.6987,0.0,0.0,0.0,-986.4928,-8879.6482,502.0005,5085.3303,-1910.1365,56.85554448,-2003.9917000000005,-1853.2809555200001,-3857.2726555200006
93,366.2567,1071.4537,809.3831,0.0,0.0,0.0,-987.9836,-9007.5056,479.4967,5078.2292,-1782.8148,56.981883599999996,-2190.6698000000015,-1725.8329164000002,-3916.5027164000016
94,418.0922,1023.2324,803.4362,0.0,0.0,0.0,-967.0944,-8969.5516,474.5881,5043.5348,-1826.361,56.73518208,-2173.7623000000003,-1769.6258179200001,-3943.3881179200002
95,397.9233,1025.7434,809.4343,0.0,0.0,0.0,-963.2881,-9122.9028,481.051,5074.3728,-1719.3283,55.51717464,-2297.6660999999995,-1663.81112536,-3961.4772253599995
96,430.2196,1027.0369,818.2872,0.0,0.0,0.0,-990.0235,-9062.6449,477.1708,5100.3188,-1759.2806,58.068351359999994,-2199.6350999999995,-1701.21224864,-3900.8473486399994
97,389.9355,1038.1417,814.5401,0.0,0.0,0.0,-979.8619,-9122.3516,481.18,5079.1962,-1692.762,55.46745072,-2299.2199999999993,-1637.29454928,-3936.514549279999
98,393.6695,1005.9906,798.6251,0.0,0.0,0.0,-973.4718,-9006.9667,475.5875,5091.8606,-1791.4613,57.30201288,-2214.7052000000012,-1734.15928712,-3948.8644871200013
99,419.5354,1068.7582,780.4981,0.0,0.0,0.0,-977.1248,-9073.421,470.143,5091.5422,-1762.7064,56.26503288,-2220.0689,-1706.44136712,-3926.51026712
100,412.3104,1034.3069,781.1284,0.0,0.0,0.0,-983.401,-9068.8987,482.1844,5108.1589,-1756.0317,57.19531968,-2234.2106999999987,-1698.83638032,-3933.0470803199987
101,406.924,1063.3271,788.4431,0.0,0.0,0.0,-971.4691,-9119.4343,486.6961,5122.9993,-1710.3602,55.157070239999996,-2222.5138000000006,-1655.2031297600001,-3877.7169297600008
102,386.636,1034.0039,817.8572,0.0,0.0,0.0,-1013.1886,-9113.104,477.5045,5076.7914,-1724.1414,53.375487119999995,-2333.499599999999,-1670.76591288,-4004.2655128799993
103,396.7236,1084.2533,790.4367,0.0,0.0,0.0,-1000.5839,-9149.493,477.2306,5068.137,-1654.9852,52.20586512,-2333.2957000000006,-1602.77933488,-3936.0750348800007
104,383.8342,1042.4221,798.3086,0.0,0.0,0.0,-990.0457,-9045.2228,477.0588,5077.2826,-1749.7397,54.584173439999994,-2256.3622000000005,-1695.15552656,-3951.5177265600005
105,382.0958,1069.7506,780.7987,0.0,0.0,0.0,-1003.6832,-9016.8971,496.7215,5114.7186,-1814.2479,55.2591684,-2176.4951,-1758.9887316000002,-3935.4838316000005
106,384.0691,1094.8691,788.7961,0.0,0.0,0.0,-1008.4507,-8978.5981,480.9696,5082.3424,-1810.5061,54.98155728,-2156.002499999998,-1755.52454272,-3911.527042719998
107,391.5236,1034.19,816.5119,0.0,0.0,0.0,-958.6688,-9042.2329,486.0427,5079.133,-1804.3039,54.945634319999996,-2193.500500000001,-1749.3582656800002,-3942.858765680001
108,397.6784,1016.9235,801.2049,0.0,0.0,0.0,-1017.7425,-8975.8117,490.0129,5057.2429,-1786.7514,54.56634048,-2230.4916000000003,-1732.18505952,-3962.6766595200006
