Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,397.6983,1058.8494,1694.997,0.0,0.0,0.0,-993.352,-9162.1288,497.7512,5405.3986,-1781.8942,56.198592,-1100.7862999999998,-1725.695608,-2826.4819079999993
1,388.2052,1054.683,1718.4571,0.0,0.0,0.0,-1011.6399,-9164.5119,501.1169,5423.7136,-1801.4877,55.81583568,-1089.9759999999997,-1745.67186432,-2835.6478643199994
2,402.6193,1066.2079,1729.0545,0.0,0.0,0.0,-1033.4935,-9103.9149,473.5832,5460.9426,-1869.2508,55.939389119999994,-1005.0009,-1813.31141088,-2818.3123108799996
3,401.8764,1038.1825,1710.7123,0.0,0.0,0.0,-1006.7915,-9092.7165,483.316,5428.2108,-1894.4592,56.15775936,-1037.210000000001,-1838.30144064,-2875.511440640001
4,415.891,1057.762,1730.234,0.0,0.0,0.0,-1024.4794,-9072.665,483.4551,5404.5858,-1871.9857,54.5224932,-1005.2165000000014,-1817.4632067999999,-2822.6797068000014
5,398.5572,1095.8788,1719.7258,0.0,0.0,0.0,-997.9578,-9086.4654,486.6691,5395.4462,-1876.0412,54.54682056,-988.146099999999,-1821.4943794399999,-2809.6404794399987
6,411.9712,1047.2093,1700.6483,0.0,0.0,0.0,-1022.9598,-9129.7583,483.4326,5410.6005,-1831.4173,53.21830392,-1098.8561999999993,-1778.1989960800001,-2877.0551960799994
7,399.4134,1096.5844,1721.0658,0.0,0.0,0.0,-1020.7822,-9089.9829,489.802,5383.4159,-1829.5252,54.0863064,-1020.4836000000014,-1775.4388936,-2795.9224936000014
8,369.2708,1099.248,1732.5963,0.0,0.0,0.0,-981.7059,-9204.092,480.2139,5407.0502,-1798.6553,55.574840879999996,-1097.418700000001,-1743.08045912,-2840.499159120001
9,398.1211,1085.9752,1714.8626,0.0,0.0,0.0,-1002.2834,-9111.2241,491.6973,5396.6702,-1855.9636,57.02470056,-1026.1810999999998,-1798.9388994400001,-2825.11999944
10,377.5471,1083.8004,1700.6712,0.0,0.0,0.0,-1014.3681,-9073.4158,476.2874,5425.1707,-1887.1078,55.28197008,-1024.307100000001,-1831.82582992,-2856.1329299200006
11,385.1793,1071.7844,1721.2109,0.0,0.0,0.0,-994.5875,-9154.8936,492.8479,5465.0231,-1839.0912,57.52861128,-1013.4354999999987,-1781.5625887200001,-2794.9980887199986
12,377.3638,1037.8023,1696.6357,0.0,0.0,0.0,-963.1052,-9149.6686,489.2606,5423.277,-1828.9459,56.94540624,-1088.434400000001,-1772.00049376,-2860.4348937600007
13,382.8981,1122.3742,1715.1274,0.0,0.0,0.0,-978.2352,-9041.0133,488.7808,5409.3254,-1901.411,57.27696624,-900.7426000000014,-1844.13403376,-2744.8766337600014
14,394.354,1097.2216,1733.6689,0.0,0.0,0.0,-976.3872,-9083.9525,496.1617,5392.7841,-1880.2744,57.50153424,-946.1494000000002,-1822.77286576,-2768.9222657600003
15,428.7538,1136.0551,1713.9022,0.0,0.0,0.0,-987.2959,-9161.7996,495.1576,5384.2625,-1796.2617,56.655905759999996,-990.9643000000005,-1739.60579424,-2730.570094240001
16,398.0277,1091.5715,1734.3505,0.0,0.0,0.0,-990.645,-9186.5547,476.9577,5444.0038,-1811.1087,55.380744719999996,-1032.2884999999997,-1755.72795528,-2788.0164552799993
17,427.0332,1087.4875,1711.5258,0.0,0.0,0.0,-984.8513,-9252.489,495.7273,5405.6103,-1700.8161,55.7276976,-1109.9561999999987,-1645.0884024,-2755.044602399999
18,412.6847,1047.0415,1734.0753,0.0,0.0,0.0,-993.0203,-9169.5033,488.3423,5421.5789,-1831.0677,58.07221272,-1058.8009000000002,-1772.9954872800001,-2831.79638728
19,401.3781,1049.6715,1702.0298,0.0,0.0,0.0,-970.7283,-9229.3203,499.8175,5411.4061,-1763.7775,58.083230879999995,-1135.7455999999993,-1705.69426912,-2841.4398691199995
